winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Konstantin Erokhin,Gabriel Gonzaga,"5' 11""",230 lbs.,--,Orthodox,"Jan 31, 1983",1.07,36%,1.83,47%,0.0,0%,70%,0.0,"6' 2""",242 lbs.,"76""",Orthodox,"May 18, 1979",2.12,45%,2.94,57%,2.8,39%,66%,1.1,2015.0,0.0,0.0,1.0,4.0,0.0
Mike Pierce,Ryan LaFlare,"5' 8""",170 lbs.,"71""",Orthodox,"Sep 01, 1980",2.62,42%,2.36,62%,3.08,42%,71%,0.2,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983",2.89,40%,1.86,63%,2.13,44%,58%,0.2,2015.0,0.0,4.0,1.0,4.0,0.0
Geane Herrera,Joby Sanchez,"5' 5""",125 lbs.,"66""",Orthodox,"May 27, 1990",1.51,31%,5.07,52%,0.83,37%,38%,0.6,"5' 6""",135 lbs.,"68""",Orthodox,"Jun 24, 1991",3.22,36%,2.82,63%,0.95,71%,51%,0.4,2015.0,0.0,1.0,0.0,2.0,1.0
Chris Gruetzemacher,Abner Lloveras,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986",6.18,57%,4.96,52%,0.21,50%,65%,0.0,"5' 11""",155 lbs.,--,,"Sep 04, 1982",6.27,49%,6.87,43%,2.0,20%,0%,0.0,2015.0,1.0,2.0,0.0,0.0,1.0
Paige VanZant,Rose Namajunas,"5' 4""",115 lbs.,"65""",Orthodox,"Mar 26, 1994",3.35,52%,2.62,42%,1.27,33%,34%,1.0,"5' 5""",125 lbs.,"65""",Orthodox,"Jun 29, 1992",3.6,41%,3.38,63%,1.49,50%,62%,0.4,2015.0,1.0,3.0,0.0,3.0,0.0
Michael Chiesa,Jim Miller,"6' 1""",170 lbs.,"75""",Southpaw,"Dec 07, 1987",2.03,40%,1.73,57%,3.05,47%,67%,1.0,"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.92,42%,3.44,56%,1.5,45%,48%,1.7,2015.0,2.0,4.0,1.0,7.0,1.0
Cody Pfister,Sage Northcutt,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990",1.41,25%,2.8,51%,2.82,30%,0%,0.0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 01, 1996",3.58,52%,1.96,58%,1.81,34%,41%,0.6,2015.0,0.0,1.0,2.0,2.0,0.0
Elias Theodorou,Thiago Santos,"6' 1""",185 lbs.,"75""",Orthodox,"May 31, 1988",4.19,42%,2.39,53%,1.27,28%,59%,0.0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",3.72,48%,2.57,53%,0.88,33%,65%,0.1,2015.0,3.0,3.0,0.0,4.0,0.0
John Howard,Tim Means,"5' 7""",170 lbs.,"72""",Orthodox,"Mar 01, 1983",2.15,50%,3.08,51%,2.7,49%,53%,0.4,"6' 2""",170 lbs.,"75""",Orthodox,"Feb 20, 1984",5.04,49%,3.65,60%,1.14,40%,64%,0.2,2015.0,1.0,4.0,0.0,4.0,0.0
Sergio Moraes,Omari Akhmedov,"6' 0""",170 lbs.,"72""",Orthodox,"Jul 23, 1982",2.42,42%,3.73,59%,1.2,38%,75%,0.4,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2,2015.0,0.0,4.0,1.0,3.0,1.0
Kevin Casey,Antonio Carlos Junior,"5' 11""",185 lbs.,"77""",Southpaw,"Jun 15, 1981",2.27,53%,3.76,46%,0.79,22%,27%,0.4,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",1.95,42%,2.14,52%,3.42,39%,53%,0.8,2015.0,0.0,1.0,0.0,5.0,0.0
Johnny Eduardo,Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",2.95,39%,3.22,63%,0.22,20%,58%,0.4,"5' 7""",145 lbs.,"71""",Orthodox,"Jul 31, 1989",4.45,52%,2.21,59%,2.45,30%,44%,0.6,2015.0,0.0,2.0,0.0,9.0,0.0
Andreas Stahl,Santiago Ponzinibbio,"5' 11""",170 lbs.,--,Orthodox,"May 20, 1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0,"6' 0""",170 lbs.,"73""",Orthodox,"Sep 26, 1986",4.78,41%,4.68,61%,0.6,27%,71%,0.0,2015.0,0.0,0.0,1.0,7.0,0.0
Danny Roberts,Nathan Coy,"6' 1""",170 lbs.,"74""",Southpaw,"Jul 14, 1987",3.18,39%,3.73,50%,0.24,9%,57%,0.2,"5' 10""",170 lbs.,"69""",Southpaw,"Jul 24, 1978",3.88,52%,2.4,61%,3.17,47%,50%,0.0,2015.0,0.0,2.0,1.0,1.0,1.0
Zubaira Tukhugov,Phillipe Nover,"5' 8""",155 lbs.,"68""",Orthodox,"Jan 15, 1991",3.17,39%,3.07,63%,2.13,39%,100%,0.0,"5' 9""",145 lbs.,"72""",Orthodox,"Feb 03, 1984",1.79,35%,2.48,56%,0.99,28%,44%,0.7,2015.0,1.0,3.0,0.0,1.0,1.0
Kailin Curran,Emily Kagan,"5' 4""",115 lbs.,"65""",Orthodox,"Apr 11, 1991",3.89,43%,4.75,53%,2.0,57%,61%,0.6,"5' 3""",115 lbs.,--,,"Jul 14, 1981",2.6,36%,5.29,38%,1.86,14%,50%,0.0,2015.0,0.0,1.0,0.0,0.0,1.0
Benson Henderson,Jorge Masvidal,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983",2.93,45%,1.79,63%,2.4,45%,63%,0.8,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.05,47%,3.05,64%,1.38,59%,72%,0.3,2015.0,1.0,7.0,0.0,4.0,1.0
Dong Hyun Kim,Dominic Waters,"6' 2""",170 lbs.,"76""",Southpaw,"Nov 17, 1981",2.12,49%,1.89,58%,2.93,43%,71%,0.6,"6' 1""",170 lbs.,"79""",Orthodox,"Apr 11, 1989",0.48,23%,2.53,39%,4.07,52%,28%,0.0,2015.0,3.0,4.0,0.0,0.0,1.0
Alberto Mina,Yoshihiro Akiyama,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982",3.23,38%,3.7,47%,1.85,20%,50%,0.0,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,41%,3.62,57%,2.29,67%,92%,1.0,2015.0,3.0,3.0,1.0,8.0,1.0
Sam Sicilia,Dooho Choi,"5' 8""",145 lbs.,"67""",Orthodox,"Feb 01, 1986",2.46,33%,3.55,59%,1.45,43%,70%,0.9,"5' 10""",145 lbs.,"70""",Orthodox,"Apr 10, 1991",4.67,56%,4.02,56%,1.43,53%,47%,0.6,2015.0,0.0,2.0,1.0,3.0,0.0
Dongi Yang,Jake Collier,"5' 10""",185 lbs.,"73""",Southpaw,"Dec 07, 1984",3.55,51%,3.21,63%,1.7,41%,61%,0.5,"6' 3""",230 lbs.,"78""",Orthodox,"Oct 25, 1988",5.8,44%,5.08,50%,0.71,33%,67%,0.6,2015.0,0.0,1.0,0.0,1.0,1.0
Yui Chul Nam,Mike de la Torre,"5' 9""",145 lbs.,--,Orthodox,"Jul 16, 1981",3.53,51%,2.0,48%,1.33,16%,57%,0.3,"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",3.21,39%,4.75,51%,0.36,16%,83%,0.0,2015.0,0.0,1.0,0.0,1.0,0.0
Leo Kuntz,Tae Hyun Bang,"5' 10""",155 lbs.,--,Orthodox,"Oct 03, 1983",1.68,32%,3.8,45%,1.99,25%,33%,0.7,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",2.72,38%,2.07,66%,0.49,33%,57%,0.5,2015.0,0.0,0.0,1.0,1.0,0.0
Seo Hee Ham,Cortney Casey,"5' 2""",115 lbs.,"62""",Southpaw,"Mar 08, 1987",4.2,39%,5.15,61%,0.0,0%,66%,0.2,"5' 7""",125 lbs.,"67""",Orthodox,"May 05, 1987",4.29,39%,4.0,55%,0.39,31%,39%,0.5,2015.0,0.0,1.0,1.0,2.0,1.0
Fredy Serrano,Yao Zhikui,"5' 3""",125 lbs.,"65""",Orthodox,"Sep 22, 1979",1.58,26%,1.89,61%,2.84,25%,84%,0.0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 07, 1991",1.44,21%,2.82,48%,0.66,16%,58%,0.0,2015.0,0.0,2.0,0.0,1.0,1.0
Marco Beltran,Guangyou Ning,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",2.07,37%,1.93,63%,0.7,50%,46%,0.2,"5' 4""",145 lbs.,"64""",Southpaw,"Dec 15, 1981",2.66,41%,1.91,61%,1.09,50%,62%,0.3,2015.0,0.0,3.0,0.0,2.0,1.0
Dominique Steele,Dong Hyun Ma,"5' 10""",170 lbs.,"74""",Orthodox,"Jan 27, 1988",2.32,49%,2.42,50%,2.95,42%,76%,0.0,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",2.84,41%,4.1,54%,1.27,53%,33%,0.0,2015.0,0.0,1.0,0.0,3.0,1.0
Neil Magny,Kelvin Gastelum,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.41,46%,2.44,51%,2.18,39%,55%,0.3,"5' 9""",185 lbs.,"71""",Southpaw,"Oct 24, 1991",3.67,42%,3.53,57%,1.01,34%,60%,0.1,2015.0,1.0,7.0,0.0,5.0,1.0
Ricardo Lamas,Diego Sanchez,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982",3.13,47%,2.87,57%,1.84,33%,46%,0.9,"5' 10""",170 lbs.,"72""",Southpaw,"Dec 31, 1981",2.69,37%,3.02,56%,1.51,24%,46%,0.8,2015.0,0.0,4.0,1.0,9.0,1.0
Jussier Formiga,Henry Cejudo,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",3.82,47%,3.46,59%,1.84,31%,76%,0.1,2015.0,0.0,4.0,0.0,6.0,0.0
Enrique Marin,Erick Montano,"5' 10""",170 lbs.,--,,"Sep 02, 1986",1.43,33%,3.0,50%,2.5,38%,60%,1.0,"6' 0""",170 lbs.,"73""",Orthodox,"Nov 19, 1985",2.79,44%,2.06,64%,2.29,36%,66%,0.0,2015.0,0.0,0.0,0.0,1.0,0.0
Horacio Gutierrez,Enrique Barzola,"5' 10""",145 lbs.,--,,"Sep 15, 1990",0.86,26%,2.91,46%,0.0,0%,50%,0.0,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989",3.91,41%,2.97,68%,4.2,45%,66%,0.3,2015.0,0.0,0.0,0.0,4.0,0.0
Efrain Escudero,Leandro Silva,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.3,63%,1.31,40%,66%,0.8,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 11, 1985",2.39,48%,2.08,63%,1.76,37%,65%,0.4,2015.0,0.0,2.0,0.0,2.0,0.0
Erik Perez,Taylor Lapilus,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1989",3.16,40%,2.09,66%,3.16,55%,69%,0.2,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992",4.59,48%,2.61,62%,0.27,33%,77%,0.3,2015.0,2.0,3.0,1.0,2.0,1.0
Hector Urbina,Bartosz Fabinski,"5' 11""",170 lbs.,"73""",Orthodox,"Sep 17, 1987",0.97,38%,2.44,39%,0.0,0%,38%,3.8,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986",2.23,68%,1.46,51%,7.1,70%,80%,0.0,2015.0,0.0,1.0,0.0,3.0,0.0
Scott Jorgensen,Alejandro Perez,"5' 5""",135 lbs.,"66""",Orthodox,"Sep 17, 1982",3.37,40%,3.41,65%,2.61,45%,59%,0.7,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989",3.45,35%,3.18,61%,0.54,22%,70%,0.3,2015.0,0.0,5.0,1.0,4.0,0.0
Andre Fili,Gabriel Benitez,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.87,37%,4.23,51%,2.22,45%,71%,0.2,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",5.26,41%,4.49,63%,0.22,50%,55%,0.9,2015.0,0.0,2.0,0.0,2.0,1.0
Vernon Ramos Ho,Alvaro Herrera Mendoza,"5' 6""",170 lbs.,--,Orthodox,"Jun 03, 1992",4.0,25%,8.0,55%,0.0,0%,0%,0.0,"6' 0""",155 lbs.,"74""",Orthodox,"May 14, 1990",1.89,38%,3.4,55%,0.0,0%,33%,1.1,2015.0,0.0,0.0,0.0,1.0,0.0
Marco Polo Reyes,Cesar Arzamendia,"5' 11""",155 lbs.,"71""",Orthodox,"Nov 07, 1984",6.0,37%,5.52,59%,0.0,0%,46%,0.0,"5' 11""",155 lbs.,--,Orthodox,"Jan 31, 1991",5.37,45%,5.2,56%,7.32,75%,0%,2.4,2015.0,0.0,3.0,0.0,0.0,1.0
Michel Prazeres,Valmir Lazaro,"5' 6""",170 lbs.,"67""",Orthodox,"Jul 25, 1981",2.38,47%,2.51,57%,3.94,36%,47%,0.6,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985",4.87,37%,4.09,61%,1.33,40%,96%,0.0,2015.0,0.0,8.0,1.0,1.0,1.0
Ronda Rousey,Holly Holm,"5' 7""",135 lbs.,"66""",Orthodox,"Feb 01, 1987",4.17,52%,4.14,44%,6.26,68%,50%,4.8,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 17, 1981",3.13,40%,2.92,55%,0.87,30%,76%,0.1,2015.0,0.0,10.0,0.0,3.0,0.0
Joanna Jedrzejczyk,Valerie Letourneau,"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",6.28,48%,3.25,62%,0.27,62%,80%,0.1,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983",4.51,37%,5.4,58%,0.77,45%,66%,0.3,2015.0,0.0,8.0,0.0,3.0,1.0
Antonio Silva,Mark Hunt,"6' 4""",264 lbs.,"82""",Orthodox,"Sep 14, 1979",2.89,45%,3.09,50%,0.82,29%,66%,0.8,"5' 10""",265 lbs.,"72""",Orthodox,"Mar 23, 1974",2.81,43%,2.9,51%,0.51,55%,64%,0.2,2015.0,0.0,4.0,0.0,5.0,0.0
Uriah Hall,Robert Whittaker,"6' 0""",185 lbs.,"79""",Orthodox,"Jul 31, 1984",3.23,48%,3.85,54%,0.54,38%,64%,0.1,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 20, 1990",4.39,43%,3.36,59%,0.73,38%,82%,0.0,2015.0,0.0,4.0,0.0,9.0,0.0
Jared Rosholt,Stefan Struve,"6' 2""",265 lbs.,"75""",Orthodox,"Aug 04, 1986",2.08,46%,1.52,59%,1.83,41%,66%,0.1,"6' 11""",265 lbs.,"84""",Orthodox,"Feb 18, 1988",3.12,47%,4.04,46%,0.56,46%,55%,1.7,2015.0,3.0,3.0,0.0,4.0,1.0
Jake Matthews,Akbarh Arreola,"5' 11""",170 lbs.,"73""",Orthodox,"Aug 19, 1994",3.34,43%,2.62,60%,1.44,41%,64%,0.8,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",2.32,45%,4.01,56%,1.07,100%,33%,0.4,2015.0,3.0,3.0,0.0,1.0,1.0
Peter Sobotta,Kyle Noke,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",2.14,40%,2.9,58%,1.53,32%,77%,0.5,"6' 1""",170 lbs.,"76""",Southpaw,"Mar 18, 1980",3.23,50%,2.09,64%,1.53,54%,66%,0.8,2015.0,0.0,2.0,0.0,4.0,0.0
Anthony Perosh,Gian Villante,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972",2.27,43%,3.77,53%,2.03,22%,33%,1.1,"6' 3""",230 lbs.,"76""",Orthodox,"Aug 18, 1985",4.38,44%,5.47,55%,0.45,23%,83%,0.0,2015.0,0.0,3.0,0.0,3.0,0.0
Richie Vaculik,Danny Martinez,"5' 6""",125 lbs.,"69""",Orthodox,"Jun 19, 1983",3.69,46%,4.09,57%,3.0,45%,31%,1.0,"5' 6""",125 lbs.,"67""",Orthodox,"Jun 14, 1985",2.73,28%,3.77,63%,3.0,45%,36%,0.0,2015.0,0.0,1.0,0.0,0.0,0.0
Daniel Kelly,Steve Montgomery,"6' 0""",185 lbs.,"70""",Southpaw,"Oct 31, 1977",3.62,38%,4.64,61%,1.86,34%,78%,0.3,"6' 4""",185 lbs.,--,Southpaw,"Dec 19, 1990",4.85,39%,4.12,47%,0.0,0%,64%,0.0,2015.0,0.0,4.0,0.0,0.0,1.0
Steve Kennedy,Richard Walsh,"5' 11""",170 lbs.,--,Orthodox,"Mar 07, 1983",2.28,35%,5.52,45%,2.51,33%,0%,0.0,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 01, 1988",3.84,46%,2.72,58%,1.55,40%,66%,0.2,2015.0,0.0,0.0,0.0,1.0,0.0
James Moontasri,Anton Zafir,"5' 10""",170 lbs.,"71""",Switch,"Apr 10, 1988",2.39,48%,3.86,40%,0.0,0%,79%,0.2,"5' 11""",170 lbs.,--,Orthodox,"May 10, 1987",2.99,64%,2.31,52%,6.11,60%,0%,0.0,2015.0,0.0,1.0,0.0,0.0,1.0
Ben Nguyen,Ryan Benoit,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988",3.51,40%,3.01,59%,0.25,33%,63%,1.0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",2.88,39%,3.65,58%,0.28,22%,72%,0.4,2015.0,0.0,2.0,0.0,1.0,1.0
Vitor Belfort,Dan Henderson,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",1.59,46%,2.83,50%,1.02,60%,53%,0.6,"5' 11""",185 lbs.,"74""",Orthodox,"Aug 24, 1970",2.44,47%,2.7,51%,1.52,52%,57%,0.3,2015.0,1.0,5.0,1.0,4.0,1.0
Patrick Cummins,Glover Teixeira,"6' 2""",205 lbs.,"76""",Orthodox,"Nov 16, 1980",4.26,50%,3.35,55%,4.49,41%,28%,0.1,"6' 2""",205 lbs.,"76""",Orthodox,"Oct 28, 1979",3.73,49%,4.43,51%,2.11,33%,60%,0.9,2015.0,0.0,3.0,0.0,8.0,0.0
Anthony Birchak,Thomas Almeida,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986",3.93,36%,3.67,56%,0.48,14%,61%,0.5,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991",4.84,43%,4.93,61%,0.17,14%,75%,0.0,2015.0,0.0,1.0,0.0,4.0,0.0
Alex Oliveira,Piotr Hallmann,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988",2.99,51%,2.55,46%,2.35,38%,63%,0.6,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 25, 1987",3.98,45%,3.17,58%,2.55,44%,70%,0.4,2015.0,0.0,3.0,0.0,1.0,1.0
Gilbert Burns,Rashid Magomedov,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 20, 1986",3.15,48%,3.64,52%,2.12,37%,53%,0.5,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984",4.4,49%,3.05,54%,0.67,57%,89%,0.2,2015.0,0.0,6.0,0.0,4.0,0.0
Corey Anderson,Fabio Maldonado,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980",5.29,58%,4.31,53%,0.44,57%,61%,0.6,2015.0,4.0,4.0,0.0,3.0,1.0
Gleison Tibau,Abel Trujillo,"5' 10""",155 lbs.,"71""",Southpaw,"Oct 07, 1983",1.95,31%,2.51,63%,4.08,53%,92%,0.8,"5' 8""",155 lbs.,"70""",Orthodox,"Sep 18, 1983",2.65,41%,2.31,59%,2.18,45%,40%,0.4,2015.0,0.0,3.0,0.0,3.0,0.0
Johnny Case,Yan Cabral,"5' 10""",155 lbs.,"72""",Orthodox,"Jun 28, 1989",3.95,38%,2.66,61%,1.7,45%,72%,0.2,"5' 11""",155 lbs.,"73""",Orthodox,"May 13, 1983",2.02,47%,1.98,62%,2.89,35%,37%,1.2,2015.0,0.0,4.0,0.0,2.0,1.0
Clay Guida,Thiago Tavares,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981",2.63,33%,3.0,61%,3.1,35%,66%,0.6,"5' 7""",145 lbs.,"70""",Orthodox,"Nov 08, 1984",2.0,40%,2.31,62%,3.83,42%,62%,1.5,2015.0,0.0,4.0,1.0,2.0,0.0
Chas Skelly,Edimilson Souza,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",2.01,40%,3.21,49%,1.74,34%,39%,2.3,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984",4.65,44%,2.91,58%,0.0,0%,50%,0.0,2015.0,1.0,4.0,3.0,3.0,1.0
Viscardi Andrade,Gasan Umalatov,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984",3.26,42%,2.77,63%,1.93,50%,66%,0.3,"5' 11""",170 lbs.,"71""",Orthodox,"Sep 11, 1982",2.23,39%,4.1,59%,0.75,17%,90%,0.0,2015.0,1.0,1.0,0.0,1.0,1.0
Pedro Munhoz,Jimmie Rivera,"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.38,41%,6.29,55%,0.48,16%,82%,0.5,"5' 4""",135 lbs.,"68""",Orthodox,"Jun 29, 1989",4.03,40%,3.9,60%,0.88,27%,92%,0.1,2015.0,0.0,4.0,1.0,5.0,0.0
Bruno Korea,Matheus Nicolau,"5' 6""",135 lbs.,"65""",,"Jun 28, 1991",2.12,34%,3.96,42%,0.0,0%,25%,0.0,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 06, 1993",3.31,51%,2.98,65%,1.22,43%,90%,0.8,2015.0,0.0,0.0,0.0,4.0,0.0
Louis Smolka,Paddy Holohan,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991",4.67,47%,4.11,53%,1.69,35%,32%,1.8,"5' 10""",125 lbs.,"69""",Orthodox,"May 03, 1988",2.13,46%,2.81,46%,2.88,47%,71%,1.3,2015.0,0.0,4.0,2.0,2.0,1.0
Norman Parke,Reza Madadi,"5' 11""",155 lbs.,"70""",Southpaw,"Dec 22, 1986",3.06,35%,2.88,64%,1.98,26%,77%,0.0,"5' 11""",155 lbs.,"73""",Orthodox,"Jun 20, 1978",2.51,46%,3.31,66%,3.17,33%,89%,0.5,2015.0,1.0,3.0,0.0,1.0,1.0
Nicolas Dalby,Darren Till,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984",4.05,43%,3.69,52%,0.98,27%,58%,0.1,"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",2.3,46%,3.31,56%,0.55,46%,69%,0.0,2015.0,0.0,4.0,0.0,4.0,1.0
Neil Seery,Jon Delos Reyes,"5' 4""",125 lbs.,"64""",Orthodox,"Aug 30, 1979",3.56,41%,3.79,58%,0.78,27%,53%,1.6,"5' 6""",125 lbs.,"67""",Orthodox,"Aug 19, 1987",2.99,38%,4.14,51%,3.2,83%,55%,1.9,2015.0,0.0,2.0,1.0,1.0,1.0
Stevie Ray,Mickael Lebout,"5' 10""",155 lbs.,"70""",Southpaw,"Mar 25, 1990",3.73,44%,2.93,54%,0.75,46%,55%,0.6,"5' 11""",155 lbs.,"73""",Orthodox,"Aug 16, 1987",2.6,34%,2.98,54%,0.0,0%,60%,0.0,2015.0,0.0,3.0,1.0,1.0,1.0
Ericka Almeida,Aisling Daly,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989",1.07,39%,3.33,43%,0.5,33%,37%,0.0,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,52%,1.4,55%,2.15,41%,33%,0.9,2015.0,0.0,0.0,0.0,1.0,0.0
Scott Askham,Krzysztof Jotko,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",3.03,46%,3.52,52%,0.44,18%,65%,0.7,"6' 1""",185 lbs.,"77""",Southpaw,"Aug 19, 1989",2.98,42%,2.23,57%,1.33,39%,82%,0.1,2015.0,0.0,1.0,2.0,5.0,0.0
Tom Breese,Cathal Pendred,"6' 3""",185 lbs.,"73""",Southpaw,"Sep 26, 1991",3.34,50%,2.81,60%,0.0,0%,70%,1.1,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987",2.49,44%,3.01,55%,2.46,23%,83%,0.4,2015.0,1.0,3.0,0.0,4.0,1.0
Robert Whiteford,Darren Elkins,"5' 9""",145 lbs.,"69""",Southpaw,"Apr 12, 1983",2.33,46%,1.99,62%,1.9,30%,45%,0.0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.4,38%,3.34,51%,2.87,34%,56%,1.1,2015.0,0.0,2.0,2.0,6.0,0.0
Bubba Bush,Garreth McLellan,"6' 0""",185 lbs.,--,Orthodox,"Jul 24, 1985",0.63,55%,7.01,25%,2.82,50%,60%,0.0,"6' 1""",185 lbs.,"72""",Southpaw,"Sep 01, 1982",3.56,54%,2.94,45%,1.15,22%,34%,0.9,2015.0,0.0,0.0,0.0,1.0,0.0
Alexander Gustafsson,Daniel Cormier,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987",4.03,40%,3.53,51%,1.53,39%,83%,0.4,"5' 11""",235 lbs.,"72""",Orthodox,"Mar 20, 1979",4.25,52%,2.92,54%,1.83,44%,80%,0.4,2015.0,0.0,6.0,0.0,12.0,0.0
Ryan Bader,Rashad Evans,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",2.82,43%,1.39,71%,3.37,44%,80%,0.4,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,37%,2.42,63%,2.98,44%,73%,0.0,2015.0,1.0,5.0,0.0,8.0,1.0
Ruslan Magomedov,Shawn Jordan,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986",4.02,47%,1.47,66%,0.33,100%,88%,0.0,"6' 0""",260 lbs.,"75""",Southpaw,"Oct 21, 1984",2.87,50%,3.3,47%,1.97,38%,76%,0.1,2015.0,2.0,2.0,3.0,3.0,1.0
Ali Bagautinov,Joseph Benavidez,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",2.85,42%,3.09,52%,2.51,36%,65%,0.3,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",3.52,34%,2.67,61%,1.41,30%,62%,0.6,2015.0,1.0,3.0,0.0,6.0,0.0
Julianna Pena,Jessica Eye,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 19, 1989",3.1,44%,2.56,57%,1.7,54%,24%,0.8,"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.86,37%,4.19,55%,0.58,40%,57%,0.5,2015.0,1.0,4.0,0.0,3.0,1.0
Dan Hooker,Yair Rodriguez,"6' 0""",155 lbs.,"75""",Switch,"Feb 13, 1990",5.03,48%,4.72,51%,0.73,34%,78%,0.3,"5' 11""",145 lbs.,"71""",Orthodox,"Oct 06, 1992",4.65,46%,3.78,52%,0.71,29%,59%,0.6,2015.0,2.0,4.0,0.0,6.0,0.0
