winner,looser,height_1,weight_1,reach_1,stance_1,dob_1,slpm_1,stracc_1,sapm_1,strdef_1,tdavg_1,tdacc_1,tddef_1,subavg_1,height_2,weight_2,reach_2,stance_2,dob_2,slpm_2,stracc_2,sapm_2,strdef_2,tdavg_2,tdacc_2,tddef_2,subavg_2,fight_date,cur_streak_1,max_streak_1,cur_streak_2,max_streak_2,outcome
Seokhyeon Ko,Phil Rowe,"5' 10""",170 lbs.,"71""",Southpaw,"Sep 24, 1993",2.73,59%,1.42,58%,4.0,63%,75%,0.3,"6' 3""",170 lbs.,"80""",Orthodox,"Jul 18, 1990",3.5,50%,4.12,51%,0.52,36%,50%,0.3,2025.0,2.0,2.0,1.0,3.0,1.0
Ariane Carnelossi,Talita Alencar,"5' 2""",115 lbs.,"61""",Orthodox,"Nov 17, 1992",2.63,38%,4.61,44%,1.08,50%,22%,0.2,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990",2.91,37%,3.36,55%,3.02,26%,66%,0.6,2025.0,1.0,2.0,1.0,1.0,0.0
Tom Aspinall,Ciryl Gane,"6' 5""",255 lbs.,"78""",Orthodox,"Apr 11, 1993",7.63,67%,3.62,56%,2.62,80%,100%,1.3,"6' 4""",247 lbs.,"81""",Orthodox,"Apr 12, 1990",5.29,61%,2.33,60%,0.68,25%,47%,0.6,2025.0,3.0,5.0,2.0,7.0,1.0
Mackenzie Dern,Virna Jandiroba,"5' 4""",115 lbs.,"63""",Orthodox,"Mar 24, 1993",3.47,41%,3.93,51%,0.93,18%,37%,1.1,"5' 3""",115 lbs.,"64""",Orthodox,"May 30, 1988",2.33,41%,2.9,55%,2.85,37%,74%,1.5,2025.0,2.0,4.0,5.0,5.0,1.0
Umar Nurmagomedov,Mario Bautista,"5' 8""",135 lbs.,"69""",Orthodox,"Jan 03, 1996",4.08,57%,2.04,60%,4.3,47%,79%,0.3,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",5.58,48%,4.19,55%,1.48,32%,54%,0.8,2025.0,0.0,6.0,8.0,8.0,1.0
Alexander Volkov,Jailton Almeida,"6' 7""",261 lbs.,"80""",Orthodox,"Oct 24, 1988",4.78,57%,2.86,53%,0.57,66%,68%,0.2,"6' 3""",237 lbs.,"79""",Orthodox,"Jun 26, 1991",2.25,66%,1.02,35%,6.66,62%,60%,2.0,2025.0,0.0,4.0,2.0,7.0,1.0
Azamat Murzakanov,Aleksandar Rakic,"5' 10""",205 lbs.,"71""",Southpaw,"Apr 12, 1989",4.7,57%,2.86,60%,0.55,15%,87%,0.0,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992",4.13,50%,2.86,51%,0.64,21%,85%,0.1,2025.0,6.0,6.0,0.0,4.0,1.0
Quillan Salkilld,Nasrat Haqparast,"6' 0""",155 lbs.,"75""",Orthodox,"Dec 28, 1999",5.49,57%,3.5,43%,7.77,34%,100%,0.5,"5' 10""",155 lbs.,"72""",Southpaw,"Aug 22, 1995",6.36,45%,6.0,63%,0.34,20%,86%,0.0,2025.0,3.0,3.0,5.0,5.0,1.0
JunYong Park,Ikram Aliskerov,"5' 10""",185 lbs.,"73""",Orthodox,"Feb 27, 1991",4.64,51%,3.82,51%,1.69,42%,54%,0.8,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992",6.86,64%,5.47,41%,3.2,60%,100%,0.5,2025.0,2.0,4.0,1.0,3.0,0.0
Ludovit Klein,Mateusz Rebecki,"5' 7""",155 lbs.,"72""",Southpaw,"Feb 22, 1995",3.76,53%,3.48,53%,1.37,51%,76%,0.0,"5' 7""",155 lbs.,"66""",Southpaw,"Oct 03, 1992",5.21,46%,4.69,53%,3.38,52%,50%,0.5,2025.0,0.0,4.0,0.0,4.0,1.0
Valter Walker,Louie Sutherland,"6' 6""",244 lbs.,"78""",Orthodox,"Dec 14, 1997",2.0,52%,2.85,42%,5.74,69%,0%,2.5,"6' 3""",264 lbs.,"76""",Orthodox,"Feb 08, 1994",2.14,60%,3.57,0%,0.0,0%,0%,0.0,2025.0,3.0,3.0,0.0,0.0,1.0
Nathaniel Wood,Jose Delgado,"5' 6""",145 lbs.,"69""",Orthodox,"May 08, 1993",5.74,52%,4.32,54%,1.46,50%,73%,0.5,"5' 11""",145 lbs.,"74""",Switch,"Apr 21, 1998",8.22,54%,5.44,47%,1.81,42%,60%,0.0,2025.0,2.0,3.0,3.0,3.0,1.0
Hamdy Abdelwahab,Chris Barnett,"6' 2""",265 lbs.,"72""",Southpaw,"Jan 22, 1993",4.27,55%,3.67,51%,3.25,65%,100%,0.0,"5' 9""",261 lbs.,"75""",Orthodox,"Jun 14, 1986",3.36,47%,6.55,36%,0.0,0%,35%,0.0,2025.0,0.0,1.0,0.0,1.0,1.0
Azat Maksum,Mitch Raposo,"5' 7""",125 lbs.,"70""",Southpaw,"Feb 02, 1995",2.75,27%,4.25,52%,3.5,31%,85%,0.2,"5' 5""",125 lbs.,"64""",Switch,"Oct 16, 1998",1.73,36%,2.65,61%,2.54,37%,61%,0.0,2025.0,0.0,1.0,0.0,0.0,0.0
Jaqueline Amorim,Mizuki,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995",2.43,50%,2.16,54%,2.16,36%,0%,3.8,"5' 3""",115 lbs.,"65""",Orthodox,"Aug 19, 1994",4.45,52%,4.65,49%,0.75,33%,80%,0.0,2025.0,4.0,4.0,1.0,1.0,0.0
Brendan Allen,Reinier de Ridder,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995",3.59,53%,3.62,47%,1.56,42%,56%,1.1,"6' 4""",185 lbs.,"78""",Southpaw,"Sep 07, 1990",2.2,53%,2.04,48%,2.68,30%,50%,0.7,2025.0,1.0,7.0,4.0,4.0,1.0
Mike Malott,Kevin Holland,"6' 1""",170 lbs.,"73""",Orthodox,"Nov 07, 1991",3.93,48%,3.06,56%,1.88,50%,14%,0.8,"6' 3""",170 lbs.,"81""",Orthodox,"Nov 05, 1992",4.26,49%,3.22,50%,0.83,39%,56%,0.5,2025.0,2.0,4.0,0.0,5.0,1.0
Aiemann Zahabi,Marlon Vera,"5' 8""",135 lbs.,"68""",Orthodox,"Nov 19, 1987",4.54,47%,4.08,69%,0.12,14%,83%,0.0,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",4.25,48%,5.37,49%,0.49,39%,72%,0.8,2025.0,6.0,6.0,0.0,5.0,1.0
Manon Fiorot,Jasmine Jasudavicius,"5' 7""",125 lbs.,"65""",Orthodox,"Feb 17, 1990",5.66,42%,3.58,66%,1.05,29%,87%,0.0,"5' 7""",125 lbs.,"68""",Orthodox,"Mar 01, 1989",3.7,45%,3.71,51%,2.59,44%,75%,0.6,2025.0,0.0,7.0,5.0,5.0,1.0
Charles Jourdain,Davey Grant,"5' 9""",135 lbs.,"69""",Switch,"Nov 27, 1995",5.48,49%,4.25,56%,0.33,21%,47%,0.7,"5' 8""",135 lbs.,"69""",Orthodox,"Dec 18, 1985",5.14,44%,3.82,55%,1.03,40%,63%,0.2,2025.0,1.0,2.0,2.0,3.0,1.0
Kyle Nelson,Matt Frevola,"5' 11""",155 lbs.,"71""",Switch,"Apr 20, 1991",3.6,45%,4.48,53%,1.18,23%,66%,0.5,"5' 9""",155 lbs.,"71""",Orthodox,"Jun 11, 1990",3.3,39%,3.76,56%,2.34,41%,40%,0.8,2025.0,0.0,3.0,0.0,3.0,1.0
Kyle Prepolec,Drew Dober,"5' 10""",155 lbs.,"70""",Southpaw,"Aug 30, 1989",3.25,34%,5.69,48%,0.0,0%,45%,0.0,"5' 8""",155 lbs.,"70""",Southpaw,"Oct 19, 1988",4.52,41%,4.34,52%,0.63,16%,58%,0.1,2025.0,0.0,0.0,0.0,3.0,0.0
Cody Gibson,Aoriqileng,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987",3.63,46%,3.22,57%,2.12,37%,69%,0.6,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993",4.69,49%,5.47,48%,1.2,46%,58%,0.0,2025.0,0.0,2.0,0.0,2.0,0.0
HyunSung Park,Bruno Silva,"5' 7""",125 lbs.,"66""",Orthodox,"Nov 04, 1995",3.38,41%,3.14,55%,1.5,31%,47%,1.8,"5' 4""",125 lbs.,"65""",Orthodox,"Mar 16, 1990",3.82,50%,4.55,52%,2.3,29%,63%,0.3,2025.0,0.0,5.0,0.0,4.0,0.0
Djorden Santos,Danny Barlow,"6' 0""",185 lbs.,"75""",Orthodox,"Aug 01, 1997",7.0,44%,5.98,48%,0.67,33%,86%,0.0,"6' 2""",185 lbs.,"79""",Southpaw,"Aug 02, 1995",5.81,51%,4.65,52%,0.0,0%,100%,0.0,2025.0,0.0,1.0,0.0,3.0,1.0
Ravena Oliveira,Stephanie Luciano,"5' 5""",115 lbs.,"65""",Orthodox,"Feb 20, 1997",1.4,29%,2.8,50%,1.08,66%,50%,0.0,"5' 6""",115 lbs.,"65""",Orthodox,"Dec 16, 1999",5.2,42%,3.04,64%,1.3,71%,80%,0.3,2025.0,0.0,0.0,0.0,1.0,0.0
Azamat Bekoev,Yousri Belgaroui,"6' 0""",185 lbs.,"72""",Orthodox,"Dec 30, 1995",4.07,45%,7.66,31%,4.49,45%,80%,0.0,"6' 5""",185 lbs.,"79""",Orthodox,"Jun 02, 1992",5.82,66%,2.52,61%,0.39,100%,68%,0.0,2025.0,2.0,2.0,1.0,1.0,0.0
Melissa Croden,Tainara Lisboa,--,135 lbs.,--,Orthodox,"Apr 12, 1991",6.81,56%,2.89,54%,2.06,66%,75%,0.0,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 02, 1991",2.01,44%,2.88,45%,1.67,31%,53%,0.3,2025.0,0.0,0.0,0.0,2.0,1.0
Mateusz Gamrot,Charles Oliveira,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 11, 1990",3.29,51%,2.96,59%,5.15,37%,83%,0.1,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989",3.35,54%,3.24,49%,2.22,40%,54%,2.6,2025.0,1.0,4.0,0.0,11.0,0.0
Montel Jackson,Deiveson Figueiredo,"5' 10""",135 lbs.,"75""",Southpaw,"Apr 24, 1992",3.09,52%,1.4,61%,3.0,63%,67%,0.3,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",2.75,54%,3.54,49%,1.71,35%,57%,1.3,2025.0,6.0,6.0,0.0,5.0,0.0
Joel Alvarez,Vicente Luque,"6' 3""",155 lbs.,"77""",Orthodox,"Mar 02, 1993",4.78,55%,3.07,54%,0.19,33%,47%,1.1,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",4.83,51%,5.3,51%,0.9,48%,60%,0.7,2025.0,3.0,4.0,0.0,6.0,1.0
