,winner,winner_url,looser,looser_url
162,Joselyne Edwards,http://www.ufcstats.com/fighter-details/f9ab66e67240db7b,Priscila Cachoeira,http://www.ufcstats.com/fighter-details/b1e5bcaad32a3cac
163,Uros Medic,http://www.ufcstats.com/fighter-details/681399317dbf4701,Gilbert Urbina,http://www.ufcstats.com/fighter-details/b12fb759e02378de
164,Gabriella Fernandes,http://www.ufcstats.com/fighter-details/a6eb54ae17a551be,Julija Stoliarenko,http://www.ufcstats.com/fighter-details/a78a87d8c2bbb1cb
165,Eric McConico,http://www.ufcstats.com/fighter-details/9508cc6184cb2450,Cody Brundage,http://www.ufcstats.com/fighter-details/f14f644d41ade29f
166,Tatsuro Taira,http://www.ufcstats.com/fighter-details/4461d7e47375a895,HyunSung Park,http://www.ufcstats.com/fighter-details/b671bdf981ad527d
167,Chris Duncan,http://www.ufcstats.com/fighter-details/fd406a32a6fb3a29,Mateusz Rebecki,http://www.ufcstats.com/fighter-details/849c5d9979df5357
168,Esteban Ribovics,http://www.ufcstats.com/fighter-details/323d4ca260dfa0ba,Elves Brener,http://www.ufcstats.com/fighter-details/48a9a128784d53d1
169,Karol Rosa,http://www.ufcstats.com/fighter-details/351c4ec637380ad5,Nora Cornolle,http://www.ufcstats.com/fighter-details/f2b3f4ef3f780168
170,Neil Magny,http://www.ufcstats.com/fighter-details/84b3e7d38f2d2ec5,Elizeu Zaleski dos Santos,http://www.ufcstats.com/fighter-details/8adcbd525fab8d9b
171,Kevin Vallejos,http://www.ufcstats.com/fighter-details/239d8e5359022f3b,Danny Silva,http://www.ufcstats.com/fighter-details/d964a59c48381cb6
172,Rinya Nakamura,http://www.ufcstats.com/fighter-details/d8c811df0386d5e8,Nathan Fletcher,http://www.ufcstats.com/fighter-details/a2d342ffc83913ed
173,Rodolfo Vieira,http://www.ufcstats.com/fighter-details/260e9e0d4954aea6,Tresean Gore,http://www.ufcstats.com/fighter-details/147e70aa6cc48cfc
